@relation 'problema-weka.filters.unsupervised.attribute.Remove-R3-8,18-19,24-27'

@attribute L1-dcache-load-misses numeric
@attribute L1-dcache-loads numeric
@attribute branch-instructions numeric
@attribute branch-load-misses numeric
@attribute branch-loads numeric
@attribute branch-misses numeric
@attribute cache-misses numeric
@attribute cache-references numeric
@attribute cpu-cycles numeric
@attribute dTLB-load-misses numeric
@attribute dTLB-loads numeric
@attribute page-faults numeric
@attribute iTLB-load-misses numeric
@attribute iTLB-loads numeric
@attribute instructions numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
294482,251374829,154694733,667560,155778727,678180,117995,2561798,505346411,119775,250693275,130,107778,43452,787729242,0
223362,247358455,156311822,654469,156321628,651277,58558,1819791,498911922,114821,251788631,127,104962,7920,767821408,0
364700,231781357,166414021,670687,166341293,672807,137801,2016547,500049290,107244,268960315,715,103893,101567,758771148,0
252443,248246709,156185223,639486,156123873,639855,50383,1705145,497755144,114428,252002341,129,104816,7509,768132405,0
242866,248311300,156136931,656285,156468406,654756,95747,1864538,498909934,115823,252019017,130,104744,7474,766439679,0
213444,246177358,155173855,767526,155349635,764592,78366,1829797,505724358,114802,249266975,135,104960,16325,767014440,0
278695,245453194,155192867,691954,155362605,695891,51204,1718804,500248371,114086,248918248,130,105028,12338,766162818,0
124752,65931692,48797932,155539,48816781,154124,41881,448983,95136405,3670,71129223,136,1199,2173,246085734,0
172398,92777276,61806622,399658,61782382,398560,85302,1331992,336443671,111016,93210042,133,104756,5410,322993116,0
268523,245928327,156506384,664764,156286940,664316,57281,1826937,501577625,114839,249482655,133,105280,12367,769532834,0
248405,245709222,156016579,718583,156001772,699122,104078,2148291,503339049,114010,249230041,129,266279,103033,767592433,0
208325,245454754,155902040,690774,155696352,682035,89952,1850882,500606777,114608,249100632,129,104946,12870,765525337,0
105450,4604365,7264523,166386,7258396,166358,162206,724489,31487177,9608,?,593,?,?,?,0
118985,63118222,52469643,235733,52189221,224295,107391,835019,98348678,5378,71602922,329,1163,1574,244007060,0
170928,63266482,49053298,158533,48938003,155088,56343,478395,94627880,3714,70973446,135,1122,2241,246167246,0
163963,61979855,48744103,163322,48650132,158226,65664,502100,95148244,4204,70698291,137,1220,2699,245333132,0
229496,248037812,156501432,650476,156588894,654428,104952,1886872,499709654,115082,252415447,129,105385,7911,768853013,0
171091,54300659,54911224,152157,57055943,147308,69459,660856,105082639,3634,58740800,132,1851,3999,294303495,0
218509,246518573,155010700,722370,155313647,717527,179082,1985218,508236357,115560,249662167,129,105317,12351,770066903,0
176056,92173368,61818704,337915,61796498,336091,59600,1205718,335239521,111179,93352148,133,104944,15470,324818206,0
230736,244229471,155910882,699554,155778083,701052,57709,1838036,503998042,115206,249513054,129,105049,12493,766849317,0
240247,245852971,152745365,641567,153808932,635215,103340,2027942,506606279,114735,249292759,128,105956,309698,766680984,0
214970,249271637,156341235,623492,156220564,623443,68310,1835131,505962535,114633,252055283,128,104805,257380,768283992,0
213479,246261364,155258284,656633,155475814,659326,55528,1810489,499880143,114728,249487564,131,105080,13871,767439427,0
